commit	date	subject	tags	groups	file_count
bf5de32f033e0bb6907ebe07861056f662c1f973	2020-10-21	(outliner) replace symbols from original file with ones from lib file	area:src;area:tests;src:midend	src/midend;tests	3
665d77c72c0c3535b9f35a00278d39d19c08aa0c	2020-10-21	(Ada) revised passing/failing test lists	area:tests	tests	1
5752719721340f31be52cae86b0510f55078ae72	2020-10-21	Merge branch 'code-united' into jimada			0
02ad525cb92289fedb2735d3fc14e8c30c0ff1af	2020-10-21	Merge branch 'ada3' into code-united			0
c765c4d2c9b68ef24d532866f84e2c541ca3130b	2020-10-21	Merge branch 'legacy' into code-united			0
4d1e769c2ede1dce0deca18910ab7aa4f4093b19	2020-10-21	(Ada) Minor improvements	area:src;drop:frontend-other;src:frontend	src/frontend/OTHER	4
62023338bc555ffda988d84fe08c862bc0d476b9	2020-10-20	adding handler for An_Exception_Renaming_Declaration	area:src;area:tests;drop:frontend-other;src:frontend	src/frontend/OTHER;tests	2
7fe545bea5747305ddfd29482e56dcf7b5646bf5	2020-10-20	(Fortran) Implement more varieties of function declarations	area:src;drop:frontend-other;src:frontend	src/frontend/OTHER	4
ecb78636f438798866cd9fa2bffd7d2d08331a48	2020-10-20	(AstConsistency test) disable namespace symbol check for now	area:src;src:midend	src/midend	1
637c67cf88048aa511bb876633762af410d81e29	2020-10-19	(Ada Frontend) statements done for asis	area:src;area:tests;drop:frontend-other;src:frontend	src/frontend/OTHER;tests	10
f1fd2d0a15c6b897d856f64eaafade5dd704bb4f	2020-10-19	(Ada) Added test case [wip]	area:tests	tests	3
a5e5a67f0a01cf264174889bedef72d45feda809	2020-10-19	(Ada) support records	area:src;area:tests;drop:frontend-other;src:frontend	src/frontend/OTHER;tests	5
0559689590c8449e5ed71e0352cf2b05cd2d0f7a	2020-10-19	(Ada) remove backend error for Ada	area:src;src:frontend;src:frontend:sage	src/frontend/SageIII	1
dc2ab37f707684b3bbb89081409a7fd93dc238dd	2020-10-19	(outliner) a new regression test with a qualified function name	area:tests	tests	3
bbe8f79a9ebbf0a4910c0ccb5f6e05c1a8c3342f	2020-10-19	Merge branch 'master' of rosecompiler1.llnl.gov:rose/scratch/rose			0
a2c694727b4358c19235de5f589cab5b02bb9230	2020-10-19	(Release) Incremented version to 0.11.4.14	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
32ed0941db75da39802b2a274263c18673ce7c5c	2020-10-19	(Ada) extended Ada backend support	area:src;drop:frontend-other;src:frontend	src/frontend/OTHER	1
17b246e36ae7cf31ce1602e674f73bb679747986	2020-10-19	(legacy) make PRE + its ControlFlowGraph legacy	area:src;area:tests;area:tutorial;src:frontend;src:frontend:sage;src:midend	src;src/frontend/SageIII;src/midend;tests;tutorial	13
df0d892e60707d6bf5fcc703c26d6ae8a6d9553e	2020-10-18	Merge remote-tracking branch 'origin/master' into HEAD			0
2d23e9c85ecb60181b039f536e8741a49462c6ab	2020-10-18	Merge commit '197adf129e969e9e5a6e6432c816778dadfecc5d' into HEAD			0
